,Project Number,Contractor
90031,122420,Venture Home Solar LLC
90032,118113,"CNY Solar, Inc."
90033,166537,
90034,147593,Trinity Solar (dba for Trinity Heating and Air)
90035,119786,GreenSpark Solar (dba for Sustainable Energy Developments)
90036,149307,Sunrise Energy Corp.
90037,174077,"Solcius, LLC"
90038,157260,SunPower Capital LLC
90039,152532,SunRun Inc.
90040,168376,"SuNation Solar Systems, Inc."
90041,121239,Revolution Solar (dba for Doherty Electric)
90042,108813,Vivint Solar Development LLC
90043,114308,"Sunrise Solar Solutions, LLC"
90044,177176,"EmPower CES, LLC"
90045,128116,SunRun Inc.
90046,163398,Tesla Energy Operations Inc.
90047,120633,Kasselman Solar LLC
90048,172017,1st Light Energy
90049,173146,SunRun Inc.
90050,121658,SunRun Inc.
90051,157840,"Nickels Energy Solutions, LLC"
90052,118449,"Renovus Energy, Inc"
90053,214509,
90054,154472,"Lotus Energy, Inc."
90055,120263,Tesla Energy Operations Inc.
90056,112656,Hudson Solar
90057,152713,Clean Energy Collective
90058,163127,Tesla Energy Operations Inc.
90059,147136,SunPower Capital LLC
90060,155358,
90061,165476,SunPower Capital LLC
90062,144812,SunPower Capital LLC
90063,180663,
90064,111424,Kasselman Solar LLC
90065,128429,SunRun Inc.
90066,127669,"Max Solar, Inc."
90067,113727,Tesla Energy Operations Inc.
90068,157452,"Apex Solar Power, LLC"
90069,161577,Sunnova Energy Corp.
90070,136052,"O'Connell Electric Co., Inc."
90071,130643,New York State Solar Farm
90072,159902,SunRun Inc.
90073,139822,"Solcius, LLC"
90074,159787,SunRun Inc.
90075,154685,"Apex Solar Power, LLC"
90076,159376,Premier Solar Solutions
90077,154310,SunRun Inc.
90078,116020,CIR Electrical Construction Corp.
90079,139955,"SuNation Solar Systems, Inc."
90080,167476,SunPower Capital LLC
90081,119745,"Healthy Home Energy & Consulting, Inc"
90082,110101,SunRun Inc.
90083,180138,"Empire Solar Solutions, LLC"
90084,116533,Hudson Solar
90085,114515,High Peaks Solar
90086,160622,SunPower Capital LLC
90087,112436,Tesla Energy Operations Inc.
90088,121443,Tesla Energy Operations Inc.
90089,112457,SunPower Capital LLC
90090,116610,SunPower Capital LLC
90091,115562,Rural Generation & Wind
90092,118603,Vivint Solar Development LLC
90093,116508,"SuNation Solar Systems, Inc."
90094,172256,SunPower Capital LLC
90095,176047,SunCommon (dba for Hudson Valley Clean Energy)
90096,180926,SunRun Inc.
90097,114207,"Buffalo Solar Solutions, Inc."
90098,163971,Trinity Solar (dba for Trinity Heating and Air)
90099,181211,"Nickels Energy Solutions, LLC"
90100,159385,Vivint Solar Development LLC
90101,114558,Vivint Solar Development LLC
90102,148357,SunPower Capital LLC
90103,157670,Lighthouse Solar (dba for Sun Source Technologies)
90104,116648,Quixotic Systems LLC
90105,166159,SunRun Inc.
90106,158688,
90107,134520,SunPower Capital LLC
90108,109503,SunRun Inc.
90109,141977,"SuNation Solar Systems, Inc."
90110,127386,"EmPower CES, LLC"
90111,175819,SunPower Capital LLC
90112,119185,SunRun Inc.
90113,154112,"DMV EQUITY, INC."
90114,120514,"Solcius, LLC"
90115,141041,"Solcius, LLC"
90116,161109,"Solar Liberty Energy Systems, Inc."
90117,172214,Sunrise Energy Corp.
90118,114359,
90119,157866,SunRun Inc.
90120,160848,"Empire Solar Solutions, LLC"
90121,169892,"Sunrise Solar Solutions, LLC"
90122,163660,
90123,110028,SunPower Capital LLC
90124,172773,SunPower Capital LLC
90125,153908,SunPower Capital LLC
90126,110383,Lighthouse Solar (dba for Sun Source Technologies)
90127,174885,SunPower Capital LLC
90128,158614,SunRun Inc.
90129,165149,"Solcius, LLC"
90130,148431,SunPower Capital LLC
90131,108805,SunRun Inc.
90132,110806,Amergy Solar Inc.
90133,168517,Vivint Solar Development LLC
90134,108664,SunRun Inc.
90135,114954,Kasselman Solar LLC
90136,152594,"US Energy Concierge, Inc"
90137,128899,Vivint Solar Development LLC
90138,181362,SunPower Capital LLC
90139,169211,SunRun Inc.
90140,154313,SunRun Inc.
90141,128047,SunRun Inc.
90142,164112,SunRun Inc.
90143,158130,SunRun Inc.
90144,117844,Tesla Energy Operations Inc.
90145,157147,SunPower Capital LLC
90146,175364,
90147,153190,New York State Solar Farm
90148,129458,"Empire Solar Store (dba Wiltshire Renewable Energy Systems, LLC)"
90149,123300,SunRun Inc.
90150,113023,SunRun Inc.
90151,109538,"Alternative Power Solutions of NY, LLC"
90152,127345,Vivint Solar Development LLC
90153,177371,"SuNation Solar Systems, Inc."
90154,116059,SunRun Inc.
90155,162458,Kasselman Solar LLC
90156,157895,SunRun Inc.
90157,118269,SunPower Capital LLC
90158,135847,SunRun Inc.
90159,115107,Halco Renewable Energy (dba for Halcyon)
90160,118578,SunRun Inc.
90161,171166,
90162,176816,Harvest Power
90163,179201,SunRun Inc.
90164,169707,SunPower Capital LLC
90165,162946,Skyline Solar Inc.
90166,121346,SunRun Inc.
90167,180768,"Solar Liberty Energy Systems, Inc."
90168,111440,"Empire Solar Store (dba Wiltshire Renewable Energy Systems, LLC)"
90169,128610,Tesla Energy Operations Inc.
90170,162854,
90171,109874,SunRun Inc.
90172,175713,OYA SOLAR NY L.P.
90173,132751,Fuze Solar (dba for NJP Consulting Inc.)
90174,153944,SunRun Inc.
90175,118582,SunRun Inc.
90176,126051,SunRun Inc.
90177,110588,SunRun Inc.
90178,180479,
90179,169983,
90180,154420,Sunrise Energy Corp.
90181,127431,Vivint Solar Development LLC
90182,153767,SunPower Capital LLC
90183,167434,
90184,160969,SunPower Capital LLC
90185,180050,
90186,119496,"SuNation Solar Systems, Inc."
90187,111930,Trinity Solar (dba for Trinity Heating and Air)
90188,108724,SunRun Inc.
90189,160455,SunPower Capital LLC
90190,160345,Sunnova Energy Corp.
90191,111069,"CNY Solar, Inc."
90192,131265,Sunnova Energy Corp.
90193,170756,Momentum Solar (dba for Pro Custom Solar LLC)
90194,122962,"Renovus Energy, Inc"
90195,178027,SunRun Inc.
90196,112642,SunRun Inc.
90197,115213,SunRun Inc.
90198,128991,"Integrity Solar Solutions, LLC"
90199,110329,"Fusion Energy Services, LLC"
90200,135096,New York State Solar Farm
90201,125785,
90202,148218,SunPower Capital LLC
90203,164053,
90204,118304,"Solcius, LLC"
90205,158769,SunRun Inc.
90206,174589,SunPower Capital LLC
90207,165065,SunRun Inc.
90208,127599,SunPower Capital LLC
90209,118188,SunPower Capital LLC
90210,166924,SunRun Inc.
90211,160168,Vivint Solar Development LLC
90212,155451,Venture Home Solar LLC
90213,125886,SunRun Inc.
90214,146543,SunRun Inc.
90215,158810,SunRun Inc.
90216,120587,Vivint Solar Development LLC
90217,119314,Tesla Energy Operations Inc.
90218,108901,"Brooklyn SolarWorks, LLC"
90219,137785,Lighthouse Solar (dba for Sun Source Technologies)
90220,154811,SunRun Inc.
90221,164365,"Brooklyn SolarWorks, LLC"
90222,155478,"Empire Solar Solutions, LLC"
90223,110969,Venture Home Solar LLC
90224,109798,Sunnova Energy Corp.
90225,150235,SunRun Inc.
90226,112942,SunPower Capital LLC
90227,126573,"Accord Power, Inc."
90228,180004,SunRun Inc.
90229,131960,SunRun Inc.
90230,147060,Tesla Energy Operations Inc.
90231,116926,"Solar Liberty Energy Systems, Inc."
90232,180529,SunRun Inc.
90233,139197,Vivint Solar Development LLC
90234,109652,SunRun Inc.
90235,126762,"Entersolar, LLC"
90236,163167,Renewable Rochester (dba for Viola Homes)
90237,159025,SunRun Inc.
90238,114774,Vivint Solar Development LLC
90239,119441,SunPower Capital LLC
90240,178654,
90241,119026,SunRun Inc.
90242,118407,GreenSpark Solar (dba for Sustainable Energy Developments)
90243,120914,SunPower Capital LLC
90244,154423,SunPower Capital LLC
90245,109413,Grid City Electric Corp
90246,152091,SunRun Inc.
90247,170998,"Apex Solar Power, LLC"
90248,147127,"Solcius, LLC"
90249,120095,"Solar Liberty Energy Systems, Inc."
90250,142779,SunPower Capital LLC
90251,159664,Fuze Solar (dba for NJP Consulting Inc.)
90252,172141,Venture Home Solar LLC
90253,162219,"PlugPV, LLC"
90254,164457,"SuNation Solar Systems, Inc."
90255,154903,Hudson Solar
90256,127940,SunRun Inc.
90257,170428,Venture Home Solar LLC
90258,181271,Sunrise Energy Corp.
90259,153323,SunRun Inc.
90260,173152,SunRun Inc.
90261,114442,Trinity Solar (dba for Trinity Heating and Air)
90262,110914,SunRun Inc.
90263,135882,SunRun Inc.
90264,173742,"Borrego Solar Systems, Inc."
90265,118331,SunRun Inc.
90266,113791,"Empire Solar Store (dba Wiltshire Renewable Energy Systems, LLC)"
90267,127105,"Solcius, LLC"
90268,177987,"SuNation Solar Systems, Inc."
90269,160125,"Empire Solar Solutions, LLC"
90270,163582,Proven Energy Systems
90271,171373,SunPower Capital LLC
90272,114029,SunRun Inc.
90273,169535,SunRun Inc.
90274,179558,SunBlue Energy (dba for Florenton River LLC)
90275,166632,
90276,149121,Sunnova Energy Corp.
90277,154187,SunPower Capital LLC
90278,116370,"Empire Solar Store (dba Wiltshire Renewable Energy Systems, LLC)"
90279,126995,SunRun Inc.
90280,189231,
90281,175892,SunPower Capital LLC
90282,170291,SunRun Inc.
90283,123110,"Renovus Energy, Inc"
90284,162913,"Apex Solar Power, LLC"
90285,179274,SunRun Inc.
90286,115663,SunRun Inc.
90287,155929,"SuNation Solar Systems, Inc."
90288,174208,SunPower Capital LLC
90289,153872,"Taitem Engineering, P.C."
90290,130114,SunRun Inc.
90291,119385,Hudson Solar
90292,113587,Venture Home Solar LLC
90293,152430,"CNY Solar, Inc."
90294,179974,New York State Solar Farm
90295,111882,"Brooklyn SolarWorks, LLC"
90296,115927,"Fourth Coast, Inc"
90297,165740,"SuNation Solar Systems, Inc."
90298,178593,
90299,147590,New York State Solar Farm
90300,158968,SunRun Inc.
90301,126790,SunRun Inc.
90302,113125,SunRun Inc.
90303,173990,SunPower Capital LLC
90304,111971,"Empire Solar Store (dba Wiltshire Renewable Energy Systems, LLC)"
90305,161914,SunRun Inc.
90306,175283,"Apex Solar Power, LLC"
90307,153063,Trinity Solar (dba for Trinity Heating and Air)
90308,120425,Tesla Energy Operations Inc.
90309,114710,Vivint Solar Development LLC
90310,176431,SunRun Inc.
90311,116323,Vivint Solar Development LLC
90312,163692,"Ross Solar Group, LLC"
90313,174959,"Brooklyn SolarWorks, LLC"
90314,164904,
90315,168321,SunRun Inc.
90316,119566,Sunnova Energy Corp.
90317,135198,"Solcius, LLC"
90318,135566,Tesla Energy Operations Inc.
90319,110479,Tesla Energy Operations Inc.
90320,161489,Vivint Solar Development LLC
90321,118240,American Solar Partners
90322,152599,Vivint Solar Development LLC
90323,127652,SunPower Capital LLC
90324,125991,SunRun Inc.
90325,165708,SunRun Inc.
90326,127516,Hudson Solar
90327,129038,Vivint Solar Development LLC
90328,111669,SunRun Inc.
90329,116326,Venture Home Solar LLC
90330,152393,SunRun Inc.
90331,154906,"PlugPV, LLC"
90332,110149,Venture Home Solar LLC
90333,160134,"Brooklyn SolarWorks, LLC"
90334,166430,SunRun Inc.
90335,131813,SunPower Capital LLC
90336,160601,SunRun Inc.
90337,134978,Sunnova Energy Corp.
90338,175288,
90339,143324,"SuNation Solar Systems, Inc."
90340,163083,"Empire Solar Solutions, LLC"
90341,180618,"Renovus Energy, Inc"
90342,178848,Proven Energy Systems
90343,161219,Venture Home Solar LLC
90344,159527,SunPower Capital LLC
90345,144655,SunPower Capital LLC
90346,126813,Tesla Energy Operations Inc.
90347,139773,"SuNation Solar Systems, Inc."
90348,159194,SunRun Inc.
90349,126895,Kasselman Solar LLC
90350,159143,Eiger 3970 Consultants Inc.
90351,135735,Venture Home Solar LLC
90352,160911,Vivint Solar Development LLC
90353,173091,1st Light Energy
90354,146705,"Empire Solar Solutions, LLC"
90355,159770,SunRun Inc.
90356,128827,Kasselman Solar LLC
90357,115425,Tesla Energy Operations Inc.
90358,114117,SunRun Inc.
90359,129371,SunRun Inc.
90360,163465,SunRun Inc.
90361,156081,SunRun Inc.
90362,121513,Kasselman Solar LLC
90363,157738,SunRun Inc.
90364,110546,SunPower Capital LLC
90365,160235,"Ross Solar Group, LLC"
90366,115796,"Empire Solar Solutions, LLC"
90367,166363,GreenLeaf Solar
90368,171821,"NYS Parks, Recreation & Historic Preservation"
90369,118218,Venture Home Solar LLC
90370,112825,SunPower Capital LLC
90371,136669,SunRun Inc.
90372,181054,"Solar Liberty Energy Systems, Inc."
90373,117728,SunRun Inc.
90374,127192,"Apex Solar Power, LLC"
90375,179401,SunRun Inc.
90376,179835,Trinity Solar (dba for Trinity Heating and Air)
90377,170634,"SuNation Solar Systems, Inc."
90378,111002,Vivint Solar Development LLC
90379,167682,1st Light Energy
90380,173614,
90381,118054,SunPower Capital LLC
90382,180779,SunPower Capital LLC
90383,159220,SunRun Inc.
90384,155799,SunBlue Energy (dba for Florenton River LLC)
90385,142117,Kamtech Restoration Corp
90386,111497,Eiger 3970 Consultants Inc.
90387,113696,"Taitem Engineering, P.C."
90388,126873,Kasselman Solar LLC
90389,154079,SunRun Inc.
90390,126926,SunRun Inc.
90391,117610,Sunnova Energy Corp.
90392,117624,SunRun Inc.
90393,118857,Kasselman Solar LLC
90394,178422,Venture Home Solar LLC
90395,165513,SunRun Inc.
90396,165416,
90397,109982,Fuze Solar (dba for NJP Consulting Inc.)
90398,171536,"PlugPV, LLC"
90399,128325,SunPower Capital LLC
90400,119293,SunBlue Energy (dba for Florenton River LLC)
90401,111869,Vivint Solar Development LLC
90402,110054,Hudson Solar
90403,118992,Northern Lights Energy
90404,123084,Tesla Energy Operations Inc.
90405,114387,Tesla Energy Operations Inc.
90406,122683,SunPower Capital LLC
90407,110738,SunPower Capital LLC
90408,116688,Best Energy Power
90409,153532,SunRun Inc.
90410,116127,Vivint Solar Development LLC
90411,175472,SunPower Capital LLC
90412,174483,Momentum Solar (dba for Pro Custom Solar LLC)
90413,163578,Solar Generation (dba for Eiger 3970 Consultants Inc.)
90414,110677,SunRun Inc.
90415,116763,Trinity Solar (dba for Trinity Heating and Air)
90416,164865,"PlugPV, LLC"
90417,153513,1st Light Energy
90418,138396,SunRun Inc.
90419,121195,SunRun Inc.
90420,167111,Sunnova Energy Corp.
90421,157610,"Solar Liberty Energy Systems, Inc."
90422,117710,"Renovus Energy, Inc"
90423,128137,"You Save Green, Inc"
90424,141918,"SuNation Solar Systems, Inc."
90425,172606,Amergy Solar Inc.
90426,176479,SunPower Capital LLC
90427,181402,SunRun Inc.
90428,162699,"Empire Solar Solutions, LLC"
90429,176241,CIR Electrical Construction Corp.
90430,111682,SunPower Capital LLC
90431,168914,Trinity Solar (dba for Trinity Heating and Air)
90432,128952,SunRun Inc.
90433,108917,"Solcius, LLC"
90434,127289,"Nickels Energy Solutions, LLC"
90435,160745,SunCommon (dba for Hudson Valley Clean Energy)
90436,174147,SunRun Inc.
90437,167851,"You Save Green, Inc"
90438,164679,"SuNation Solar Systems, Inc."
90439,177650,"PlugPV, LLC"
90440,180733,New York State Solar Farm
90441,170802,
90442,154143,SunRun Inc.
90443,126968,Long Island Power Solutions
90444,128426,SunRun Inc.
90445,180427,SunRun Inc.
90446,143250,New York State Solar Farm
90447,161069,SunRun Inc.
90448,110958,AEC Energy Corp./American Energy Care
90449,161421,
90450,116042,SunPower Capital LLC
90451,119059,"Apex Solar Power, LLC"
90452,157389,"Entersolar, LLC"
90453,152663,"EmPower CES, LLC"
90454,159297,Momentum Solar (dba for Pro Custom Solar LLC)
90455,170343,SunPower Capital LLC
90456,173258,SunRun Inc.
90457,129274,"Solcius, LLC"
90458,109888,Sunnova Energy Corp.
90459,122908,SunRun Inc.
90460,114623,Vivint Solar Development LLC
90461,163373,"Borrego Solar Systems, Inc."
90462,168954,"Integrity Solar Solutions, LLC"
90463,115726,SunRun Inc.
90464,155133,SunRun Inc.
90465,162654,Kamtech Restoration Corp
90466,158856,"PlugPV, LLC"
90467,162820,Venture Home Solar LLC
90468,151915,Kamtech Restoration Corp
90469,128073,SunPower Capital LLC
90470,174124,
90471,166391,Sunnova Energy Corp.
90472,163999,
90473,153158,"Ross Solar Group, LLC"
90474,170167,"SuNation Solar Systems, Inc."
90475,160329,Vivint Solar Development LLC
90476,177011,SunPower Capital LLC
90477,118126,"Electrical Connections of Western New York, Inc."
90478,116560,Amergy Solar Inc.
90479,168289,SunRun Inc.
90480,152471,Trinity Solar (dba for Trinity Heating and Air)
90481,127785,SunRun Inc.
90482,122740,Kasselman Solar LLC
90483,131045,SunRun Inc.
90484,166209,"SuNation Solar Systems, Inc."
90485,140366,"Nickels Energy Solutions, LLC"
90486,116546,SunRun Inc.
90487,177861,
90488,180187,CIR Electrical Construction Corp.
90489,168873,"Ecovis, Inc. (formerly Quality Solar)"
90490,133787,SunRun Inc.
90491,115264,SunRun Inc.
90492,114978,Vivint Solar Development LLC
90493,121766,SunRun Inc.
90494,176792,Momentum Solar (dba for Pro Custom Solar LLC)
90495,126382,SunRun Inc.
90496,179080,"Nickels Energy Solutions, LLC"
90497,110908,SunRun Inc.
90498,156257,SunPower Capital LLC
90499,154177,SunRun Inc.
90500,152043,Tesla Energy Operations Inc.
90501,109090,Tesla Energy Operations Inc.
90502,153092,"Solcius, LLC"
90503,148519,Kasselman Solar LLC
90504,111649,SunBlue Energy (dba for Florenton River LLC)
90505,155725,SunRun Inc.
90506,120878,SunRun Inc.
90507,122337,Trinity Solar (dba for Trinity Heating and Air)
90508,115505,SunRun Inc.
90509,128393,SunPower Capital LLC
90510,109431,SunRun Inc.
90511,156574,Vivint Solar Development LLC
90512,113066,Long Island Power Solutions
90513,111397,SunRun Inc.
90514,128697,"Solar Liberty Energy Systems, Inc."
90515,126944,
90516,135788,"Solcius, LLC"
90517,161392,SunPower Capital LLC
90518,130188,SunRun Inc.
90519,159562,SunRun Inc.
90520,117166,"You Save Green, Inc"
90521,169070,Kasselman Solar LLC
90522,126526,"Renovus Energy, Inc"
90523,174459,"PlugPV, LLC"
90524,153282,SunPower Capital LLC
90525,110976,Venture Home Solar LLC
90526,168737,Vivint Solar Development LLC
90527,118080,SunPower Capital LLC
90528,167628,"You Save Green, Inc"
90529,108886,"Active Solar Development, LLC"
90530,155639,SunPower Capital LLC
90531,119397,"Solcius, LLC"
90532,172329,SunRun Inc.
90533,158272,SunRun Inc.
90534,115372,"SuNation Solar Systems, Inc."
90535,166969,"Empire Solar Solutions, LLC"
90536,173664,SunPower Capital LLC
90537,126007,SunRun Inc.
90538,125902,SunRun Inc.
90539,155094,"Solcius, LLC"
90540,151065,SunPower Capital LLC
90541,110506,CIR Electrical Construction Corp.
90542,168752,"Solcius, LLC"
90543,156669,
90544,148755,Vivint Solar Development LLC
90545,166825,1st Light Energy
90546,111815,SunRun Inc.
90547,156857,Infinity Solar Systems LLC
90548,126651,Lighthouse Solar (dba for Sun Source Technologies)
90549,119476,GreenSpark Solar (dba for Sustainable Energy Developments)
90550,111307,"ETM Solar Works, Inc."
90551,110644,SunRun Inc.
90552,163081,Sunrise Energy Corp.
90553,177822,SunRun Inc.
90554,160312,SunRun Inc.
90555,108775,"Renovus Energy, Inc"
90556,167242,SunPower Capital LLC
90557,162195,Vivint Solar Development LLC
90558,176263,"Solcius, LLC"
90559,158892,SunPower Capital LLC
90560,118879,Sunnova Energy Corp.
90561,162416,SunPower Capital LLC
90562,171299,SunRun Inc.
90563,164795,SunPower Capital LLC
90564,109526,
90565,122520,Kamtech Restoration Corp
90566,164550,Vivint Solar Development LLC
90567,109574,CIR Electrical Construction Corp.
90568,161431,"Buffalo Solar Solutions, Inc."
90569,153457,"Empire Solar Store (dba Wiltshire Renewable Energy Systems, LLC)"
90570,152288,Sunrise Energy Corp.
90571,117030,SunRun Inc.
90572,118499,SunRun Inc.
90573,170925,SunPower Capital LLC
90574,132038,"Solcius, LLC"
90575,115319,SunRun Inc.
90576,113650,"Solcius, LLC"
90577,120979,"Apex Solar Power, LLC"
90578,118137,Sunnova Energy Corp.
90579,156097,SunRun Inc.
90580,155593,AEC Energy Corp./American Energy Care
90581,117579,SunRun Inc.
90582,112610,"Adirondack Battery & Solar, LLC"
90583,151442,"Apex Solar Power, LLC"
90584,128192,"Empire Solar Solutions, LLC"
90585,111984,"CNY Solar, Inc."
90586,118789,"ETM Solar Works, Inc."
90587,120398,Tesla Energy Operations Inc.
90588,178668,SunPower Capital LLC
90589,136636,SunRun Inc.
90590,113037,SunRun Inc.
90591,112298,Harvest Power
90592,166885,Sea Bright Solar
90593,177219,SunPower Capital LLC
90594,148349,SunPower Capital LLC
90595,130740,SunPower Capital LLC
90596,144634,SunPower Capital LLC
90597,153590,"Ross Solar Group, LLC"
90598,119815,"Solcius, LLC"
90599,127549,SunPower Capital LLC
90600,158332,"Empire Solar Solutions, LLC"
90601,176945,"Solcius, LLC"
90602,171618,SunRun Inc.
90603,148825,SunPower Capital LLC
90604,160393,"PlugPV, LLC"
90605,155164,"Apex Solar Power, LLC"
90606,126564,"EmPower CES, LLC"
90607,110990,SunPower Capital LLC
90608,112068,SunRun Inc.
90609,134308,Kamtech Restoration Corp
90610,152534,SunRun Inc.
90611,159635,Vivint Solar Development LLC
90612,157054,SunRun Inc.
90613,156469,SunPower Capital LLC
90614,165843,Kasselman Solar LLC
90615,155670,SunRun Inc.
90616,177726,SunRun Inc.
90617,141803,"Brooklyn SolarWorks, LLC"
90618,120544,SunRun Inc.
90619,122481,Tesla Energy Operations Inc.
90620,167154,"Sunrise Solar Solutions, LLC"
90621,181159,Sunnova Energy Corp.
90622,171361,"SuNation Solar Systems, Inc."
90623,120907,SunRun Inc.
90624,153721,SunRun Inc.
90625,113711,Freedom Solar
90626,114386,Clean Energy Collective
90627,163478,Tesla Energy Operations Inc.
90628,176629,SunPower Capital LLC
90629,111547,"Monolith Solar Associates, LLC"
90630,171573,Momentum Solar (dba for Pro Custom Solar LLC)
90631,170146,
90632,165592,SunPower Capital LLC
90633,117434,Tesla Energy Operations Inc.
90634,180363,Vivint Solar Development LLC
90635,114079,"Solcius, LLC"
90636,164663,SunPower Capital LLC
90637,163620,SunRun Inc.
90638,158729,"Taitem Engineering, P.C."
90639,116620,SunRun Inc.
90640,129295,Sunrise Energy Corp.
90641,143899,Momentum Solar (dba for Pro Custom Solar LLC)
90642,173897,
90643,117784,"Empire Solar Solutions, LLC"
90644,152650,Kamtech Restoration Corp
90645,162295,"SuNation Solar Systems, Inc."
90646,172634,SunPower Capital LLC
90647,112237,"Empire Solar Store (dba Wiltshire Renewable Energy Systems, LLC)"
90648,112585,SunRun Inc.
90649,177072,
90650,152478,Kamtech Restoration Corp
90651,127771,SunPower Capital LLC
90652,116519,Tesla Energy Operations Inc.
90653,117827,"SuNation Solar Systems, Inc."
90654,122022,Trinity Solar (dba for Trinity Heating and Air)
90655,162328,SunPower Capital LLC
90656,172494,SunRun Inc.
90657,153900,SunPower Capital LLC
90658,154729,"EmPower CES, LLC"
90659,160733,Momentum Solar (dba for Pro Custom Solar LLC)
90660,167820,SunCommon (dba for Hudson Valley Clean Energy)
90661,162749,SunPower Capital LLC
90662,113543,Tesla Energy Operations Inc.
90663,128721,Vivint Solar Development LLC
90664,177590,
90665,116599,SunPower Capital LLC
90666,165456,GE Solar
90667,148942,SunPower Capital LLC
90668,117451,Venture Home Solar LLC
90669,128745,SunRun Inc.
90670,111170,"Renovus Energy, Inc"
90671,153250,"Buffalo Solar Solutions, Inc."
90672,161292,SunRun Inc.
90673,109151,Kamtech Restoration Corp
90674,118542,"Alternative Power Solutions of NY, LLC"
90675,159267,SunPower Capital LLC
90676,178179,SunRun Inc.
90677,149735,SunPower Capital LLC
90678,181197,SunnyMac LLC
90679,149814,"Empire Solar Solutions, LLC"
90680,160804,"Empire Solar Solutions, LLC"
90681,178235,Vivint Solar Development LLC
90682,153359,SunRun Inc.
90683,109385,SunRun Inc.
90684,113128,SunPower Capital LLC
90685,175959,SunRun Inc.
90686,113802,"DC Solar Integrators, LLC"
90687,174277,SunRun Inc.
90688,151499,Vivint Solar Development LLC
90689,117200,Sunnova Energy Corp.
90690,118643,SunRun Inc.
90691,157292,SunPower Capital LLC
90692,108925,"SuNation Solar Systems, Inc."
90693,163995,Kamtech Restoration Corp
90694,154155,SunRun Inc.
90695,109912,SunRun Inc.
90696,168384,SunRun Inc.
90697,133542,Vivint Solar Development LLC
90698,160542,"Solar Liberty Energy Systems, Inc."
90699,133967,SunRun Inc.
90700,167050,Vivint Solar Development LLC
90701,158009,SunRun Inc.
90702,172463,SunPower Capital LLC
90703,119350,Momentum Solar (dba for Pro Custom Solar LLC)
90704,116738,"Solcius, LLC"
90705,158198,Momentum Solar (dba for Pro Custom Solar LLC)
90706,127631,SunPower Capital LLC
90707,179466,"You Save Green, Inc"
90708,118274,Kamtech Restoration Corp
90709,181020,Sunrise Energy Corp.
90710,110433,SunPower Capital LLC
90711,112148,High Peaks Solar
90712,153017,"Ross Solar Group, LLC"
90713,139868,"SuNation Solar Systems, Inc."
90714,115262,"EmPower CES, LLC"
90715,176880,Renewable Rochester (dba for Viola Homes)
90716,112753,SunRun Inc.
90717,115598,
90718,175429,"CNY Solar, Inc."
90719,177016,SunPower Capital LLC
90720,158471,"Accord Power, Inc."
90721,122192,Venture Home Solar LLC
90722,139084,New York State Solar Farm
90723,117947,Vivint Solar Development LLC
90724,171100,
90725,170934,1st Light Energy
90726,155127,SunRun Inc.
90727,177549,Kasselman Solar LLC
90728,170065,Trinity Solar (dba for Trinity Heating and Air)
90729,165764,SunPower Capital LLC
90730,118470,"SuNation Solar Systems, Inc."
90731,176668,SunRun Inc.
90732,127256,"Solcius, LLC"
90733,151137,Sunnova Energy Corp.
90734,161605,SunRun Inc.
90735,128712,Vivint Solar Development LLC
90736,157756,SunRun Inc.
90737,148615,SunPower Capital LLC
90738,167726,"Sunrise Solar Solutions, LLC"
90739,112912,Tesla Energy Operations Inc.
90740,142859,SunRun Inc.
90741,156596,SunRun Inc.
90742,117526,Kasselman Solar LLC
90743,181184,Momentum Solar (dba for Pro Custom Solar LLC)
90744,114761,SunPower Capital LLC
90745,112044,SunRun Inc.
90746,158546,"Alternative Power Solutions of NY, LLC"
90747,158008,SunRun Inc.
90748,165532,SunRun Inc.
90749,111242,SunRun Inc.
90750,156953,SunRun Inc.
90751,160467,SunRun Inc.
90752,177501,SunRun Inc.
90753,110645,GreenSpark Solar (dba for Sustainable Energy Developments)
90754,120537,Venture Home Solar LLC
90755,169553,"Brooklyn SolarWorks, LLC"
90756,113106,SunPower Capital LLC
90757,171624,SunRun Inc.
90758,120724,SunPower Capital LLC
90759,118108,SunBlue Energy (dba for Florenton River LLC)
90760,163524,SunPower Capital LLC
90761,174328,"BQ Energy, Inc."
90762,168819,SunPower Capital LLC
90763,112418,SunRun Inc.
90764,115959,"Buffalo Solar Solutions, Inc."
90765,164580,SunPower Capital LLC
90766,117060,SunPower Capital LLC
90767,157166,CIR Electrical Construction Corp.
90768,128489,"Solcius, LLC"
90769,147811,SunRun Inc.
90770,159834,SunPower Capital LLC
90771,128181,New York State Solar Farm
90772,176422,1st Light Energy
90773,128136,SunPower Capital LLC
90774,150141,"PlugPV, LLC"
90775,181403,SunRun Inc.
90776,167052,New York State Solar Farm
90777,131200,Trinity Solar (dba for Trinity Heating and Air)
90778,113215,Sunnova Energy Corp.
90779,155318,CIR Electrical Construction Corp.
90780,162554,Trinity Solar (dba for Trinity Heating and Air)
90781,148454,SunRun Inc.
90782,166476,"Accord Power, Inc."
90783,128906,Vivint Solar Development LLC
90784,127753,Sunnova Energy Corp.
90785,109059,SunRun Inc.
90786,158608,SunRun Inc.
90787,115323,SunRun Inc.
90788,169012,"Solar Liberty Energy Systems, Inc."
90789,113871,SunRun Inc.
90790,155335,SunRun Inc.
90791,150044,Upstate Alternative Energy
90792,117143,Amergy Solar Inc.
